id,user_id,category,description,address,landmark,image_path,image_hash,lat,lon,ai_urgency,user_urgency,ai_confidence,ai_method,status,assigned_agent,resolution_notes,estimated_resolution,created_at,updated_at,resolved_at,is_duplicate,department,work_started_at,work_completed_at,completion_image
1,1,Drainage & Water Logging,"Major water pipeline burst on MG Road near city hospital. Entire street flooded with water. Vehicles stuck, pedestrians unable to cross. Contaminated water mixing with road drainage. Emergency repair needed immediately.","MG Road, Near City Hospital, Ratnagiri",Opposite State Bank,,,17.005499999999998,73.3031,High,High,0.8,text,Pending,,,6 hours,2026-03-20T23:01:18.714929,2026-03-20T23:01:18.926896,,0,Drainage & Sewerage,,,
2,2,Public Safety & Others,Large banyan tree fallen across main road after heavy winds last night. Completely blocking traffic both ways. Tree has fallen on power lines causing sparking. Extremely dangerous situation. Fire risk.,"Station Road, Near Railway Crossing",Near Ganesh Temple,,,16.9975,73.3071,High,High,0.81,text,Pending,,,6 hours,2026-03-20T23:01:18.726492,2026-03-20T23:01:18.934086,,0,Public Safety & General,,,
3,3,Drainage & Water Logging,Exposed high-voltage wires hanging dangerously low near school entrance. Children walk past this area daily. Wire touching metal railing. Sparking observed during rain. Electrocution risk very high.,"School Lane, Sector 5",Near Government School,,,17.008499999999998,73.2981,High,High,0.93,text,In Progress,AGT0001,Agent assigned and investigating,6 hours,2026-03-20T23:01:18.732004,2026-03-20T23:01:18.941348,,0,Drainage & Sewerage,,,
4,4,Public Safety & Others,Massive sinkhole has formed on highway near bus stop. Almost 3 feet deep and 5 feet wide. A motorcycle accident already happened here yesterday. Very dangerous at night with no warning signs.,"NH-66, Near Bus Stand",Near Petrol Pump,,,16.9945,73.3101,High,High,0.91,text,In Progress,AGT0001,Agent assigned and investigating,6 hours,2026-03-20T23:01:18.740707,2026-03-20T23:01:18.948065,,0,Public Safety & General,,,
5,5,Roads & Potholes,Sewage overflow from main drainage line. Raw sewage flowing on residential streets. Unbearable smell. Health hazard for entire colony. Mosquito breeding ground. Multiple families affected. Disease outbreak risk.,"New Colony, Ward 12",Behind Market Complex,,,17.002499999999998,73.2951,High,High,0.8,text,In Progress,AGT0001,Agent assigned and investigating,6 hours,2026-03-20T23:01:18.748200,2026-03-20T23:01:18.955274,,0,Roads & Infrastructure,,,
6,1,Garbage & Waste Management,Community dustbin overflowing for 3 days. Garbage scattered by stray dogs. Bad smell spreading to nearby shops. Flies everywhere. Regular collection has been missed repeatedly this week.,"Main Market, Tilak Chowk",Near Post Office,,,17.0045,73.3081,High,Medium,0.92,text,Resolved,AGT0002,Issue has been resolved. Team dispatched and work completed.,2 days,2026-03-20T23:01:18.754841,2026-03-20T23:01:18.962883,2026-03-20T23:01:18.894720,0,Sanitation & Waste,,,
7,2,Streetlight & Electricity,Dim streetlight on residential street barely providing any illumination. Flickering on and off. Multiple complaints from women residents about safety concerns. Bulb needs replacement urgently.,"Savarkar Road, Lane 3",Near Shiv Temple,,,16.999499999999998,73.3041,Medium,Medium,0.74,text,Resolved,AGT0002,Issue has been resolved. Team dispatched and work completed.,2 days,2026-03-20T23:01:18.760483,2026-03-20T23:01:18.968607,2026-03-20T23:01:18.907640,0,Electricity & Streetlights,,,
8,3,Drainage & Water Logging,Storm drain near market area getting blocked frequently. Moderate waterlogging after every rain. Water enters some ground floor shops. Drain needs cleaning and widening. Garbage clogging the inlet.,"Market Road, Near Vegetable Market",Opposite Municipal Office,,,17.0075,73.2971,High,Medium,0.87,text,Resolved,AGT0002,Issue has been resolved. Team dispatched and work completed.,2 days,2026-03-20T23:01:18.769328,2026-03-20T23:01:18.976706,2026-03-20T23:01:18.919771,0,Drainage & Sewerage,,,
9,4,Traffic & Parking,Traffic signal at main junction malfunctioning. Green light timing too short during rush hour causing long queues. Accidents have increased at this intersection. Signal needs recalibration.,"Main Junction, Clock Tower Circle",Near Clock Tower,,,16.996499999999997,73.3061,Medium,Medium,0.94,text,Pending,,,2 days,2026-03-20T23:01:18.773967,2026-03-20T23:01:18.983181,,0,Traffic Management,,,
10,5,Public Safety & Others,Construction site noise continuing past 10 PM. Heavy machinery operating at night. Disturbing sleep of entire neighbourhood. Children and elderly residents suffering. No construction permit displayed.,"Patel Nagar, Plot 45",Near Community Hall,,,17.0095,73.3011,High,Medium,0.88,text,Pending,,,2 days,2026-03-20T23:01:18.783117,2026-03-20T23:01:18.989799,,0,Public Safety & General,,,
11,1,Water Supply Issues,Series of potholes forming on internal colony road after recent rain. Road surface deteriorating. Vehicles getting damaged. Speed is reduced. Road needs proper resurfacing not just patchwork.,"Gandhi Nagar, Main Internal Road",Near Water Tank,,,16.9985,73.2941,High,Medium,0.76,text,Pending,,,2 days,2026-03-20T23:01:18.792466,2026-03-20T23:01:18.993650,,0,Water Supply,,,
12,2,Drainage & Water Logging,Water pressure very low during morning peak hours 6-9 AM. Barely a trickle from taps. Upper floor residents getting almost no water. Possible pipeline leak or insufficient pumping capacity.,"Shivaji Nagar, Block C",Near Children Park,,,17.0065,73.3091,Medium,Medium,0.94,text,Pending,,,2 days,2026-03-20T23:01:18.800071,2026-03-20T23:01:19.004080,,0,Drainage & Sewerage,,,
13,3,Tree Fall & Maintenance,Garbage collection truck not following schedule. Supposed to come daily but visits only 2-3 times a week. Bags pile up on the street. Stray animals tear them open. Need regular schedule adherence.,"Nehru Colony, Gate 2",Near Community Garden,,,16.9955,73.3021,High,Medium,0.7,text,Pending,,,2 days,2026-03-20T23:01:18.806456,2026-03-20T23:01:19.010358,,0,Parks & Tree Maintenance,,,
